"Tabela 74 - Produção de origem animal, por tipo de produto"
"Variável - Produção de origem animal"
"Nível","Cód.","Município","Ano x Tipo de produto de origem animal"
"Nível","Cód.","Município","2004",,,,"2005",,,,"2006",,,,"2007",,,,"2008",,,,"2009",,,,"2010",,,,"2011",,,,"2012",,,,"2013",,,,"2014",,,,"2015",,,,"2016",,,,"2017",,,,"2018",,,,"2019",,,,"2020",,,,"2021",,,,"2022",,,,"2023",,,,"2024"
"Nível","Cód.","Município","Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite"
"MU","1301308","Codajás (AM)","..","","80","Mil litros","..","","80","Mil litros","..","","83","Mil litros","..","","55","Mil litros","..","","56","Mil litros","..","","119","Mil litros","..","","148","Mil litros","..","","170","Mil litros","..","","105","Mil litros","..","","125","Mil litros","..","","140","Mil litros","..","","210","Mil litros","..","","226","Mil litros","..","","135","Mil litros","..","","145","Mil litros","..","","140","Mil litros","..","","190","Mil litros","..","","180","Mil litros","..","","172","Mil litros","..","","173","Mil litros","..","","180","Mil litros"
"MU","1301407","Eirunepé (AM)","..","","22","Mil litros","..","","24","Mil litros","..","","27","Mil litros","..","","52","Mil litros","..","","29","Mil litros","..","","30","Mil litros","..","","32","Mil litros","..","","49","Mil litros","..","","45","Mil litros","..","","41","Mil litros","..","","30","Mil litros","..","","20","Mil litros","..","","12","Mil litros","..","","12","Mil litros","..","","6","Mil litros","..","","0","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","4","Mil litros","..","","210","Mil litros"
"MU","1301506","Envira (AM)","..","","322","Mil litros","..","","326","Mil litros","..","","338","Mil litros","..","","314","Mil litros","..","","317","Mil litros","..","","327","Mil litros","..","","162","Mil litros","..","","318","Mil litros","..","","134","Mil litros","..","","130","Mil litros","..","","54","Mil litros","..","","60","Mil litros","..","","74","Mil litros","..","","90","Mil litros","..","","92","Mil litros","..","","105","Mil litros","..","","29","Mil litros","..","","32","Mil litros","..","","32","Mil litros","..","","73","Mil litros","..","","92","Mil litros"
"MU","1301605","Fonte Boa (AM)","..","","68","Mil litros","..","","70","Mil litros","..","","76","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","356","Mil litros","..","","405","Mil litros","..","","260","Mil litros","..","","220","Mil litros","..","","144","Mil litros","..","","115","Mil litros","..","","117","Mil litros","..","","109","Mil litros","..","","92","Mil litros","..","","75","Mil litros","..","","65","Mil litros","..","","66","Mil litros","..","","65","Mil litros","..","","15","Mil litros","..","","18","Mil litros"
"MU","1301654","Guajará (AM)","..","","391","Mil litros","..","","466","Mil litros","..","","482","Mil litros","..","","506","Mil litros","..","","531","Mil litros","..","","547","Mil litros","..","","450","Mil litros","..","","400","Mil litros","..","","252","Mil litros","..","","195","Mil litros","..","","198","Mil litros","..","","198","Mil litros","..","","192","Mil litros","..","","194","Mil litros","..","","194","Mil litros","..","","167","Mil litros","..","","163","Mil litros","..","","51","Mil litros","..","","22","Mil litros","..","","36","Mil litros","..","","80","Mil litros"
"MU","1301704","Humaitá (AM)","..","","32","Mil litros","..","","34","Mil litros","..","","35","Mil litros","..","","132","Mil litros","..","","268","Mil litros","..","","272","Mil litros","..","","270","Mil litros","..","","420","Mil litros","..","","209","Mil litros","..","","130","Mil litros","..","","140","Mil litros","..","","140","Mil litros","..","","140","Mil litros","..","","180","Mil litros","..","","342","Mil litros","..","","380","Mil litros","..","","390","Mil litros","..","","420","Mil litros","..","","602","Mil litros","..","","610","Mil litros","..","","1620","Mil litros"
"MU","1301803","Ipixuna (AM)","..","","214","Mil litros","..","","214","Mil litros","..","","221","Mil litros","..","","232","Mil litros","..","","239","Mil litros","..","","247","Mil litros","..","","222","Mil litros","..","","180","Mil litros","..","","144","Mil litros","..","","145","Mil litros","..","","158","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","0","Mil litros","..","","1","Mil litros","..","","2","Mil litros","..","","2","Mil litros","..","","...","Mil litros","..","","...","Mil litros","..","","-","Mil litros","..","","-","Mil litros"
"MU","1301852","Iranduba (AM)","..","","198","Mil litros","..","","198","Mil litros","..","","204","Mil litros","..","","47","Mil litros","..","","92","Mil litros","..","","194","Mil litros","..","","385","Mil litros","..","","405","Mil litros","..","","615","Mil litros","..","","425","Mil litros","..","","565","Mil litros","..","","344","Mil litros","..","","340","Mil litros","..","","504","Mil litros","..","","432","Mil litros","..","","188","Mil litros","..","","309","Mil litros","..","","337","Mil litros","..","","370","Mil litros","..","","350","Mil litros","..","","393","Mil litros"
"MU","1301902","Itacoatiara (AM)","..","","6248","Mil litros","..","","6248","Mil litros","..","","6465","Mil litros","..","","1543","Mil litros","..","","6465","Mil litros","..","","6550","Mil litros","..","","3943","Mil litros","..","","4664","Mil litros","..","","5597","Mil litros","..","","5600","Mil litros","..","","5250","Mil litros","..","","4463","Mil litros","..","","3704","Mil litros","..","","3722","Mil litros","..","","3250","Mil litros","..","","2740","Mil litros","..","","1781","Mil litros","..","","1680","Mil litros","..","","1200","Mil litros","..","","1302","Mil litros","..","","2038","Mil litros"
"MU","1301951","Itamarati (AM)","..","","34","Mil litros","..","","34","Mil litros","..","","36","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","169","Mil litros","..","","313","Mil litros","..","","375","Mil litros","..","","20","Mil litros","..","","16","Mil litros","..","","-","Mil litros","..","","3","Mil litros","..","","2","Mil litros","..","","1","Mil litros","..","","1","Mil litros","..","","0","Mil litros","..","","-","Mil litros","..","","...","Mil litros","..","","...","Mil litros","..","","-","Mil litros","..","","-","Mil litros"
