"Tabela 74 - Produção de origem animal, por tipo de produto"
"Variável - Produção de origem animal"
"Nível","Cód.","Município","Ano x Tipo de produto de origem animal"
"Nível","Cód.","Município","2004",,,,"2005",,,,"2006",,,,"2007",,,,"2008",,,,"2009",,,,"2010",,,,"2011",,,,"2012",,,,"2013",,,,"2014",,,,"2015",,,,"2016",,,,"2017",,,,"2018",,,,"2019",,,,"2020",,,,"2021",,,,"2022",,,,"2023",,,,"2024"
"Nível","Cód.","Município","Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite"
"MU","1301159","Careiro da Várzea (AM)","6346","Mil Reais","6295","Mil Reais","6505","Mil Reais","6453","Mil Reais","6734","Mil Reais","6678","Mil Reais","4276","Mil Reais","4274","Mil Reais","5674","Mil Reais","5670","Mil Reais","6380","Mil Reais","6376","Mil Reais","7828","Mil Reais","7787","Mil Reais","8707","Mil Reais","8649","Mil Reais","10640","Mil Reais","10572","Mil Reais","10735","Mil Reais","10672","Mil Reais","12389","Mil Reais","12327","Mil Reais","13113","Mil Reais","13050","Mil Reais","13567","Mil Reais","13485","Mil Reais","11180","Mil Reais","11050","Mil Reais","10122","Mil Reais","9999","Mil Reais","9718","Mil Reais","9580","Mil Reais","11319","Mil Reais","11141","Mil Reais","12838","Mil Reais","12640","Mil Reais","16513","Mil Reais","16200","Mil Reais","18265","Mil Reais","18000","Mil Reais","20297","Mil Reais","20000","Mil Reais"
"MU","1301209","Coari (AM)","265","Mil Reais","105","Mil Reais","271","Mil Reais","107","Mil Reais","287","Mil Reais","111","Mil Reais","162","Mil Reais","104","Mil Reais","127","Mil Reais","127","Mil Reais","129","Mil Reais","129","Mil Reais","91","Mil Reais","60","Mil Reais","130","Mil Reais","84","Mil Reais","315","Mil Reais","68","Mil Reais","363","Mil Reais","77","Mil Reais","433","Mil Reais","85","Mil Reais","582","Mil Reais","80","Mil Reais","428","Mil Reais","83","Mil Reais","618","Mil Reais","90","Mil Reais","765","Mil Reais","94","Mil Reais","802","Mil Reais","79","Mil Reais","818","Mil Reais","80","Mil Reais","1193","Mil Reais","99","Mil Reais","1427","Mil Reais","86","Mil Reais","2514","Mil Reais","144","Mil Reais","3157","Mil Reais","108","Mil Reais"
"MU","1301308","Codajás (AM)","90","Mil Reais","72","Mil Reais","93","Mil Reais","74","Mil Reais","96","Mil Reais","76","Mil Reais","51","Mil Reais","51","Mil Reais","84","Mil Reais","84","Mil Reais","180","Mil Reais","178","Mil Reais","276","Mil Reais","222","Mil Reais","332","Mil Reais","255","Mil Reais","345","Mil Reais","158","Mil Reais","497","Mil Reais","250","Mil Reais","566","Mil Reais","210","Mil Reais","729","Mil Reais","420","Mil Reais","629","Mil Reais","452","Mil Reais","536","Mil Reais","338","Mil Reais","508","Mil Reais","326","Mil Reais","438","Mil Reais","280","Mil Reais","531","Mil Reais","380","Mil Reais","549","Mil Reais","315","Mil Reais","580","Mil Reais","344","Mil Reais","1231","Mil Reais","389","Mil Reais","1573","Mil Reais","450","Mil Reais"
"MU","1301407","Eirunepé (AM)","254","Mil Reais","22","Mil Reais","258","Mil Reais","19","Mil Reais","277","Mil Reais","22","Mil Reais","337","Mil Reais","42","Mil Reais","1051","Mil Reais","43","Mil Reais","252","Mil Reais","45","Mil Reais","295","Mil Reais","63","Mil Reais","342","Mil Reais","99","Mil Reais","570","Mil Reais","90","Mil Reais","346","Mil Reais","81","Mil Reais","310","Mil Reais","60","Mil Reais","308","Mil Reais","40","Mil Reais","418","Mil Reais","18","Mil Reais","521","Mil Reais","18","Mil Reais","305","Mil Reais","19","Mil Reais","259","Mil Reais","0","Mil Reais","385","Mil Reais","-","Mil Reais","324","Mil Reais","-","Mil Reais","308","Mil Reais","-","Mil Reais","350","Mil Reais","25","Mil Reais","2190","Mil Reais","1470","Mil Reais"
"MU","1301506","Envira (AM)","439","Mil Reais","322","Mil Reais","456","Mil Reais","336","Mil Reais","477","Mil Reais","348","Mil Reais","422","Mil Reais","323","Mil Reais","542","Mil Reais","507","Mil Reais","592","Mil Reais","555","Mil Reais","337","Mil Reais","162","Mil Reais","662","Mil Reais","398","Mil Reais","782","Mil Reais","201","Mil Reais","735","Mil Reais","195","Mil Reais","486","Mil Reais","108","Mil Reais","720","Mil Reais","120","Mil Reais","668","Mil Reais","148","Mil Reais","782","Mil Reais","270","Mil Reais","852","Mil Reais","276","Mil Reais","759","Mil Reais","263","Mil Reais","646","Mil Reais","86","Mil Reais","1152","Mil Reais","96","Mil Reais","1284","Mil Reais","130","Mil Reais","3369","Mil Reais","367","Mil Reais","1926","Mil Reais","462","Mil Reais"
"MU","1301605","Fonte Boa (AM)","180","Mil Reais","54","Mil Reais","178","Mil Reais","49","Mil Reais","191","Mil Reais","53","Mil Reais","11","Mil Reais","-","Mil Reais","15","Mil Reais","-","Mil Reais","15","Mil Reais","-","Mil Reais","793","Mil Reais","712","Mil Reais","909","Mil Reais","810","Mil Reais","616","Mil Reais","520","Mil Reais","537","Mil Reais","440","Mil Reais","251","Mil Reais","144","Mil Reais","284","Mil Reais","173","Mil Reais","302","Mil Reais","234","Mil Reais","261","Mil Reais","196","Mil Reais","219","Mil Reais","161","Mil Reais","200","Mil Reais","142","Mil Reais","204","Mil Reais","143","Mil Reais","213","Mil Reais","152","Mil Reais","223","Mil Reais","163","Mil Reais","249","Mil Reais","90","Mil Reais","301","Mil Reais","96","Mil Reais"
"MU","1301654","Guajará (AM)","449","Mil Reais","391","Mil Reais","539","Mil Reais","480","Mil Reais","559","Mil Reais","496","Mil Reais","686","Mil Reais","546","Mil Reais","803","Mil Reais","637","Mil Reais","889","Mil Reais","711","Mil Reais","645","Mil Reais","450","Mil Reais","597","Mil Reais","440","Mil Reais","563","Mil Reais","378","Mil Reais","510","Mil Reais","312","Mil Reais","497","Mil Reais","297","Mil Reais","777","Mil Reais","297","Mil Reais","765","Mil Reais","432","Mil Reais","914","Mil Reais","446","Mil Reais","935","Mil Reais","485","Mil Reais","641","Mil Reais","452","Mil Reais","718","Mil Reais","490","Mil Reais","345","Mil Reais","256","Mil Reais","389","Mil Reais","109","Mil Reais","2029","Mil Reais","182","Mil Reais","1978","Mil Reais","442","Mil Reais"
"MU","1301704","Humaitá (AM)","43","Mil Reais","25","Mil Reais","45","Mil Reais","27","Mil Reais","48","Mil Reais","28","Mil Reais","106","Mil Reais","106","Mil Reais","228","Mil Reais","228","Mil Reais","231","Mil Reais","231","Mil Reais","365","Mil Reais","230","Mil Reais","712","Mil Reais","420","Mil Reais","519","Mil Reais","251","Mil Reais","288","Mil Reais","195","Mil Reais","412","Mil Reais","210","Mil Reais","436","Mil Reais","238","Mil Reais","408","Mil Reais","210","Mil Reais","557","Mil Reais","315","Mil Reais","943","Mil Reais","684","Mil Reais","713","Mil Reais","418","Mil Reais","759","Mil Reais","437","Mil Reais","849","Mil Reais","483","Mil Reais","1278","Mil Reais","723","Mil Reais","2854","Mil Reais","1342","Mil Reais","5438","Mil Reais","3240","Mil Reais"
"MU","1301803","Ipixuna (AM)","268","Mil Reais","214","Mil Reais","276","Mil Reais","220","Mil Reais","288","Mil Reais","228","Mil Reais","392","Mil Reais","256","Mil Reais","348","Mil Reais","335","Mil Reais","383","Mil Reais","370","Mil Reais","232","Mil Reais","222","Mil Reais","198","Mil Reais","180","Mil Reais","229","Mil Reais","216","Mil Reais","248","Mil Reais","232","Mil Reais","259","Mil Reais","237","Mil Reais","202","Mil Reais","-","Mil Reais","68","Mil Reais","-","Mil Reais","45","Mil Reais","1","Mil Reais","54","Mil Reais","2","Mil Reais","57","Mil Reais","4","Mil Reais","6","Mil Reais","6","Mil Reais","...","Mil Reais","...","Mil Reais","...","Mil Reais","...","Mil Reais","330","Mil Reais","-","Mil Reais","420","Mil Reais","-","Mil Reais"
"MU","1301852","Iranduba (AM)","4878","Mil Reais","168","Mil Reais","6796","Mil Reais","172","Mil Reais","8195","Mil Reais","178","Mil Reais","8021","Mil Reais","41","Mil Reais","8568","Mil Reais","83","Mil Reais","8779","Mil Reais","174","Mil Reais","15587","Mil Reais","578","Mil Reais","19105","Mil Reais","608","Mil Reais","19529","Mil Reais","923","Mil Reais","19520","Mil Reais","553","Mil Reais","26049","Mil Reais","848","Mil Reais","15671","Mil Reais","687","Mil Reais","15953","Mil Reais","340","Mil Reais","15739","Mil Reais","504","Mil Reais","25999","Mil Reais","648","Mil Reais","25425","Mil Reais","301","Mil Reais","33890","Mil Reais","464","Mil Reais","56614","Mil Reais","842","Mil Reais","37262","Mil Reais","925","Mil Reais","42525","Mil Reais","875","Mil Reais","45048","Mil Reais","1101","Mil Reais"
"MU","1301902","Itacoatiara (AM)","5986","Mil Reais","4998","Mil Reais","6315","Mil Reais","5123","Mil Reais","6738","Mil Reais","5302","Mil Reais","2823","Mil Reais","1265","Mil Reais","8126","Mil Reais","6465","Mil Reais","8232","Mil Reais","6550","Mil Reais","10757","Mil Reais","7886","Mil Reais","13310","Mil Reais","9328","Mil Reais","16064","Mil Reais","11194","Mil Reais","16486","Mil Reais","11200","Mil Reais","18968","Mil Reais","10500","Mil Reais","10969","Mil Reais","6694","Mil Reais","9837","Mil Reais","5556","Mil Reais","9924","Mil Reais","5955","Mil Reais","10248","Mil Reais","5688","Mil Reais","9708","Mil Reais","4932","Mil Reais","8260","Mil Reais","3740","Mil Reais","8756","Mil Reais","3696","Mil Reais","8910","Mil Reais","3000","Mil Reais","10466","Mil Reais","6510","Mil Reais","14452","Mil Reais","10191","Mil Reais"
"MU","1301951","Itamarati (AM)","59","Mil Reais","27","Mil Reais","61","Mil Reais","28","Mil Reais","64","Mil Reais","29","Mil Reais","6","Mil Reais","-","Mil Reais","7","Mil Reais","-","Mil Reais","261","Mil Reais","254","Mil Reais","422","Mil Reais","391","Mil Reais","524","Mil Reais","488","Mil Reais","52","Mil Reais","26","Mil Reais","49","Mil Reais","24","Mil Reais","4","Mil Reais","-","Mil Reais","137","Mil Reais","9","Mil Reais","17","Mil Reais","2","Mil Reais","52","Mil Reais","4","Mil Reais","49","Mil Reais","2","Mil Reais","48","Mil Reais","0","Mil Reais","4","Mil Reais","-","Mil Reais","...","Mil Reais","...","Mil Reais","...","Mil Reais","...","Mil Reais","143","Mil Reais","-","Mil Reais","182","Mil Reais","-","Mil Reais"
"MU","1302009","Itapiranga (AM)","348","Mil Reais","344","Mil Reais","356","Mil Reais","352","Mil Reais","369","Mil Reais","365","Mil Reais","3","Mil Reais","3","Mil Reais","4","Mil Reais","3","Mil Reais","17","Mil Reais","4","Mil Reais","64","Mil Reais","11","Mil Reais","97","Mil Reais","50","Mil Reais","94","Mil Reais","50","Mil Reais","73","Mil Reais","44","Mil Reais","108","Mil Reais","54","Mil Reais","262","Mil Reais","72","Mil Reais","330","Mil Reais","144","Mil Reais","313","Mil Reais","130","Mil Reais","376","Mil Reais","156","Mil Reais","480","Mil Reais","177","Mil Reais","522","Mil Reais","206","Mil Reais","683","Mil Reais","266","Mil Reais","705","Mil Reais","269","Mil Reais","742","Mil Reais","283","Mil Reais","955","Mil Reais","383","Mil Reais"
"MU","1302108","Japurá (AM)","2","Mil Reais","-","Mil Reais","3","Mil Reais","-","Mil Reais","3","Mil Reais","-","Mil Reais","3","Mil Reais","-","Mil Reais","...","Mil Reais","...","Mil Reais","...","Mil Reais","...","Mil Reais","168","Mil Reais","158","Mil Reais","179","Mil Reais","166","Mil Reais","71","Mil Reais","53","Mil Reais","84","Mil Reais","63","Mil Reais","159","Mil Reais","33","Mil Reais","176","Mil Reais","45","Mil Reais","91","Mil Reais","37","Mil Reais","92","Mil Reais","28","Mil Reais","98","Mil Reais","33","Mil Reais","89","Mil Reais","29","Mil Reais","98","Mil Reais","32","Mil Reais","94","Mil Reais","30","Mil Reais","96","Mil Reais","32","Mil Reais","1003","Mil Reais","108","Mil Reais","1298","Mil Reais","275","Mil Reais"
"MU","1302207","Juruá (AM)","7","Mil Reais","-","Mil Reais","7","Mil Reais","-","Mil Reais","7","Mil Reais","-","Mil Reais","...","Mil Reais","...","Mil Reais","...","Mil Reais","...","Mil Reais","...","Mil Reais","...","Mil Reais","20","Mil Reais","14","Mil Reais","18","Mil Reais","14","Mil Reais","27","Mil Reais","11","Mil Reais","20","Mil Reais","10","Mil Reais","28","Mil Reais","4","Mil Reais","77","Mil Reais","-","Mil Reais","180","Mil Reais","-","Mil Reais","684","Mil Reais","-","Mil Reais","715","Mil Reais","1","Mil Reais","611","Mil Reais","1","Mil Reais","638","Mil Reais","1","Mil Reais","589","Mil Reais","1","Mil Reais","561","Mil Reais","-","Mil Reais","552","Mil Reais","-","Mil Reais","671","Mil Reais","25","Mil Reais"
"MU","1302306","Jutaí (AM)","60","Mil Reais","-","Mil Reais","62","Mil Reais","-","Mil Reais","66","Mil Reais","-","Mil Reais","243","Mil Reais","13","Mil Reais","362","Mil Reais","15","Mil Reais","367","Mil Reais","15","Mil Reais","843","Mil Reais","24","Mil Reais","756","Mil Reais","34","Mil Reais","428","Mil Reais","34","Mil Reais","310","Mil Reais","36","Mil Reais","369","Mil Reais","27","Mil Reais","409","Mil Reais","54","Mil Reais","459","Mil Reais","86","Mil Reais","420","Mil Reais","80","Mil Reais","347","Mil Reais","76","Mil Reais","254","Mil Reais","50","Mil Reais","264","Mil Reais","53","Mil Reais","254","Mil Reais","54","Mil Reais","309","Mil Reais","75","Mil Reais","119","Mil Reais","60","Mil Reais","192","Mil Reais","117","Mil Reais"
"MU","1302405","Lábrea (AM)","354","Mil Reais","127","Mil Reais","390","Mil Reais","132","Mil Reais","449","Mil Reais","136","Mil Reais","1028","Mil Reais","74","Mil Reais","1862","Mil Reais","129","Mil Reais","2247","Mil Reais","490","Mil Reais","2261","Mil Reais","542","Mil Reais","2598","Mil Reais","637","Mil Reais","3403","Mil Reais","1312","Mil Reais","2797","Mil Reais","1065","Mil Reais","3253","Mil Reais","1409","Mil Reais","1688","Mil Reais","581","Mil Reais","1785","Mil Reais","581","Mil Reais","2090","Mil Reais","700","Mil Reais","2229","Mil Reais","825","Mil Reais","2281","Mil Reais","800","Mil Reais","2641","Mil Reais","836","Mil Reais","2680","Mil Reais","821","Mil Reais","2919","Mil Reais","864","Mil Reais","4303","Mil Reais","2130","Mil Reais","5863","Mil Reais","2440","Mil Reais"
"MU","1302504","Manacapuru (AM)","1536","Mil Reais","831","Mil Reais","1724","Mil Reais","850","Mil Reais","1806","Mil Reais","880","Mil Reais","1107","Mil Reais","164","Mil Reais","2287","Mil Reais","662","Mil Reais","1145","Mil Reais","38","Mil Reais","3906","Mil Reais","117","Mil Reais","5062","Mil Reais","470","Mil Reais","5304","Mil Reais","1098","Mil Reais","5292","Mil Reais","915","Mil Reais","5313","Mil Reais","870","Mil Reais","8301","Mil Reais","1000","Mil Reais","9133","Mil Reais","1125","Mil Reais","9636","Mil Reais","599","Mil Reais","15771","Mil Reais","1065","Mil Reais","13816","Mil Reais","1132","Mil Reais","20125","Mil Reais","918","Mil Reais","35506","Mil Reais","1089","Mil Reais","20051","Mil Reais","1000","Mil Reais","49717","Mil Reais","2380","Mil Reais","68078","Mil Reais","3285","Mil Reais"
"MU","1302553","Manaquiri (AM)","192","Mil Reais","139","Mil Reais","197","Mil Reais","142","Mil Reais","205","Mil Reais","147","Mil Reais","1","Mil Reais","1","Mil Reais","30","Mil Reais","30","Mil Reais","480","Mil Reais","480","Mil Reais","654","Mil Reais","620","Mil Reais","1087","Mil Reais","1051","Mil Reais","511","Mil Reais","440","Mil Reais","432","Mil Reais","371","Mil Reais","286","Mil Reais","225","Mil Reais","551","Mil Reais","171","Mil Reais","553","Mil Reais","162","Mil Reais","528","Mil Reais","115","Mil Reais","1157","Mil Reais","162","Mil Reais","1358","Mil Reais","186","Mil Reais","1551","Mil Reais","238","Mil Reais","2135","Mil Reais","273","Mil Reais","2534","Mil Reais","322","Mil Reais","2140","Mil Reais","315","Mil Reais","3411","Mil Reais","1366","Mil Reais"
"MU","1302603","Manaus (AM)","30041","Mil Reais","1305","Mil Reais","36857","Mil Reais","1336","Mil Reais","46580","Mil Reais","1382","Mil Reais","50349","Mil Reais","290","Mil Reais","54747","Mil Reais","452","Mil Reais","70135","Mil Reais","458","Mil Reais","123300","Mil Reais","1217","Mil Reais","133550","Mil Reais","1287","Mil Reais","124294","Mil Reais","1078","Mil Reais","123814","Mil Reais","1058","Mil Reais","148664","Mil Reais","677","Mil Reais","126317","Mil Reais","747","Mil Reais","93357","Mil Reais","972","Mil Reais","89613","Mil Reais","500","Mil Reais","123054","Mil Reais","420","Mil Reais","150241","Mil Reais","581","Mil Reais","143131","Mil Reais","529","Mil Reais","202228","Mil Reais","720","Mil Reais","221093","Mil Reais","813","Mil Reais","296854","Mil Reais","1511","Mil Reais","328984","Mil Reais","3420","Mil Reais"
"MU","1302702","Manicoré (AM)","447","Mil Reais","264","Mil Reais","498","Mil Reais","309","Mil Reais","519","Mil Reais","318","Mil Reais","726","Mil Reais","683","Mil Reais","543","Mil Reais","513","Mil Reais","552","Mil Reais","521","Mil Reais","1488","Mil Reais","1466","Mil Reais","1697","Mil Reais","1380","Mil Reais","1918","Mil Reais","1560","Mil Reais","1715","Mil Reais","1412","Mil Reais","4162","Mil Reais","3796","Mil Reais","4145","Mil Reais","3757","Mil Reais","4370","Mil Reais","3924","Mil Reais","4856","Mil Reais","4450","Mil Reais","4599","Mil Reais","4160","Mil Reais","4447","Mil Reais","4095","Mil Reais","4152","Mil Reais","3795","Mil Reais","4336","Mil Reais","4000","Mil Reais","6680","Mil Reais","6311","Mil Reais","7273","Mil Reais","6831","Mil Reais","6959","Mil Reais","6510","Mil Reais"
"MU","1302801","Maraã (AM)","6","Mil Reais","6","Mil Reais","6","Mil Reais","6","Mil Reais","7","Mil Reais","7","Mil Reais","...","Mil Reais","...","Mil Reais","...","Mil Reais","...","Mil Reais","...","Mil Reais","...","Mil Reais","468","Mil Reais","-","Mil Reais","515","Mil Reais","-","Mil Reais","480","Mil Reais","-","Mil Reais","267","Mil Reais","-","Mil Reais","195","Mil Reais","-","Mil Reais","171","Mil Reais","-","Mil Reais","170","Mil Reais","-","Mil Reais","164","Mil Reais","-","Mil Reais","214","Mil Reais","7","Mil Reais","147","Mil Reais","6","Mil Reais","154","Mil Reais","7","Mil Reais","144","Mil Reais","6","Mil Reais","140","Mil Reais","7","Mil Reais","552","Mil Reais","-","Mil Reais","546","Mil Reais","58","Mil Reais"
"MU","1302900","Maués (AM)","295","Mil Reais","247","Mil Reais","301","Mil Reais","252","Mil Reais","313","Mil Reais","261","Mil Reais","144","Mil Reais","94","Mil Reais","1414","Mil Reais","1248","Mil Reais","1433","Mil Reais","1265","Mil Reais","2603","Mil Reais","2051","Mil Reais","3178","Mil Reais","2663","Mil Reais","1353","Mil Reais","1008","Mil Reais","1655","Mil Reais","1246","Mil Reais","4471","Mil Reais","3472","Mil Reais","2537","Mil Reais","1667","Mil Reais","2477","Mil Reais","1628","Mil Reais","1835","Mil Reais","883","Mil Reais","2049","Mil Reais","778","Mil Reais","2247","Mil Reais","788","Mil Reais","2586","Mil Reais","864","Mil Reais","2702","Mil Reais","555","Mil Reais","3035","Mil Reais","605","Mil Reais","3012","Mil Reais","596","Mil Reais","3521","Mil Reais","945","Mil Reais"
"MU","1303007","Nhamundá (AM)","441","Mil Reais","439","Mil Reais","451","Mil Reais","449","Mil Reais","467","Mil Reais","465","Mil Reais","119","Mil Reais","92","Mil Reais","15","Mil Reais","15","Mil Reais","15","Mil Reais","15","Mil Reais","25","Mil Reais","25","Mil Reais","56","Mil Reais","47","Mil Reais","148","Mil Reais","123","Mil Reais","198","Mil Reais","165","Mil Reais","214","Mil Reais","181","Mil Reais","78","Mil Reais","53","Mil Reais","226","Mil Reais","178","Mil Reais","228","Mil Reais","145","Mil Reais","263","Mil Reais","177","Mil Reais","272","Mil Reais","183","Mil Reais","402","Mil Reais","312","Mil Reais","426","Mil Reais","328","Mil Reais","475","Mil Reais","349","Mil Reais","646","Mil Reais","530","Mil Reais","1834","Mil Reais","1620","Mil Reais"
"MU","1303106","Nova Olinda do Norte (AM)","48","Mil Reais","12","Mil Reais","49","Mil Reais","12","Mil Reais","52","Mil Reais","13","Mil Reais","33","Mil Reais","27","Mil Reais","19","Mil Reais","5","Mil Reais","20","Mil Reais","6","Mil Reais","42","Mil Reais","13","Mil Reais","75","Mil Reais","23","Mil Reais","431","Mil Reais","402","Mil Reais","507","Mil Reais","462","Mil Reais","2441","Mil Reais","2380","Mil Reais","2727","Mil Reais","2656","Mil Reais","3603","Mil Reais","3515","Mil Reais","4325","Mil Reais","4110","Mil Reais","4442","Mil Reais","4200","Mil Reais","3640","Mil Reais","3420","Mil Reais","3666","Mil Reais","3475","Mil Reais","3484","Mil Reais","3304","Mil Reais","3675","Mil Reais","3451","Mil Reais","3810","Mil Reais","3480","Mil Reais","5200","Mil Reais","4290","Mil Reais"
"MU","1303205","Novo Airão (AM)","26","Mil Reais","26","Mil Reais","36","Mil Reais","36","Mil Reais","39","Mil Reais","39","Mil Reais","9","Mil Reais","8","Mil Reais","10","Mil Reais","8","Mil Reais","59","Mil Reais","59","Mil Reais","76","Mil Reais","51","Mil Reais","92","Mil Reais","61","Mil Reais","101","Mil Reais","75","Mil Reais","148","Mil Reais","96","Mil Reais","216","Mil Reais","96","Mil Reais","392","Mil Reais","72","Mil Reais","346","Mil Reais","37","Mil Reais","385","Mil Reais","75","Mil Reais","565","Mil Reais","25","Mil Reais","629","Mil Reais","42","Mil Reais","784","Mil Reais","18","Mil Reais","857","Mil Reais","-","Mil Reais","1589","Mil Reais","-","Mil Reais","2311","Mil Reais","65","Mil Reais","2546","Mil Reais","319","Mil Reais"
"MU","1303304","Novo Aripuanã (AM)","554","Mil Reais","412","Mil Reais","567","Mil Reais","422","Mil Reais","592","Mil Reais","437","Mil Reais","52","Mil Reais","44","Mil Reais","593","Mil Reais","560","Mil Reais","601","Mil Reais","567","Mil Reais","234","Mil Reais","183","Mil Reais","253","Mil Reais","207","Mil Reais","334","Mil Reais","231","Mil Reais","371","Mil Reais","272","Mil Reais","349","Mil Reais","267","Mil Reais","400","Mil Reais","288","Mil Reais","601","Mil Reais","383","Mil Reais","1349","Mil Reais","193","Mil Reais","1553","Mil Reais","276","Mil Reais","1261","Mil Reais","240","Mil Reais","1129","Mil Reais","265","Mil Reais","1079","Mil Reais","278","Mil Reais","1079","Mil Reais","336","Mil Reais","2336","Mil Reais","1531","Mil Reais","2618","Mil Reais","1773","Mil Reais"
"MU","1303403","Parintins (AM)","5052","Mil Reais","4560","Mil Reais","5303","Mil Reais","4797","Mil Reais","5506","Mil Reais","4965","Mil Reais","2611","Mil Reais","2139","Mil Reais","11413","Mil Reais","10631","Mil Reais","11546","Mil Reais","10759","Mil Reais","15649","Mil Reais","14738","Mil Reais","18153","Mil Reais","16232","Mil Reais","9530","Mil Reais","7840","Mil Reais","11521","Mil Reais","9375","Mil Reais","11639","Mil Reais","8438","Mil Reais","8879","Mil Reais","7670","Mil Reais","7738","Mil Reais","5685","Mil Reais","6620","Mil Reais","4738","Mil Reais","6611","Mil Reais","4718","Mil Reais","7572","Mil Reais","5472","Mil Reais","7918","Mil Reais","5775","Mil Reais","9895","Mil Reais","7195","Mil Reais","11081","Mil Reais","8640","Mil Reais","10598","Mil Reais","8084","Mil Reais","17171","Mil Reais","14616","Mil Reais"
"MU","1303502","Pauini (AM)","104","Mil Reais","69","Mil Reais","92","Mil Reais","56","Mil Reais","97","Mil Reais","58","Mil Reais","69","Mil Reais","43","Mil Reais","416","Mil Reais","95","Mil Reais","453","Mil Reais","128","Mil Reais","581","Mil Reais","233","Mil Reais","578","Mil Reais","248","Mil Reais","480","Mil Reais","225","Mil Reais","517","Mil Reais","210","Mil Reais","1002","Mil Reais","750","Mil Reais","1304","Mil Reais","800","Mil Reais","1072","Mil Reais","780","Mil Reais","1332","Mil Reais","750","Mil Reais","1375","Mil Reais","775","Mil Reais","1281","Mil Reais","732","Mil Reais","1219","Mil Reais","682","Mil Reais","1262","Mil Reais","670","Mil Reais","1358","Mil Reais","725","Mil Reais","1333","Mil Reais","672","Mil Reais","1383","Mil Reais","612","Mil Reais"
"MU","1303536","Presidente Figueiredo (AM)","354","Mil Reais","308","Mil Reais","362","Mil Reais","315","Mil Reais","376","Mil Reais","326","Mil Reais","257","Mil Reais","129","Mil Reais","322","Mil Reais","137","Mil Reais","326","Mil Reais","139","Mil Reais","401","Mil Reais","192","Mil Reais","498","Mil Reais","294","Mil Reais","583","Mil Reais","361","Mil Reais","591","Mil Reais","322","Mil Reais","670","Mil Reais","350","Mil Reais","677","Mil Reais","375","Mil Reais","791","Mil Reais","434","Mil Reais","751","Mil Reais","345","Mil Reais","671","Mil Reais","227","Mil Reais","838","Mil Reais","249","Mil Reais","1165","Mil Reais","251","Mil Reais","3194","Mil Reais","420","Mil Reais","4982","Mil Reais","499","Mil Reais","10908","Mil Reais","453","Mil Reais","11393","Mil Reais","1174","Mil Reais"
"MU","1303569","Rio Preto da Eva (AM)","1968","Mil Reais","364","Mil Reais","2130","Mil Reais","373","Mil Reais","2248","Mil Reais","385","Mil Reais","2044","Mil Reais","49","Mil Reais","1600","Mil Reais","56","Mil Reais","1115","Mil Reais","57","Mil Reais","2390","Mil Reais","183","Mil Reais","1851","Mil Reais","106","Mil Reais","2683","Mil Reais","115","Mil Reais","2387","Mil Reais","144","Mil Reais","2535","Mil Reais","160","Mil Reais","5467","Mil Reais","234","Mil Reais","3533","Mil Reais","84","Mil Reais","4149","Mil Reais","44","Mil Reais","5352","Mil Reais","70","Mil Reais","6861","Mil Reais","87","Mil Reais","5317","Mil Reais","74","Mil Reais","6671","Mil Reais","115","Mil Reais","9895","Mil Reais","132","Mil Reais","12059","Mil Reais","216","Mil Reais","13480","Mil Reais","208","Mil Reais"
"MU","1303601","Santa Isabel do Rio Negro (AM)","23","Mil Reais","11","Mil Reais","24","Mil Reais","12","Mil Reais","26","Mil Reais","13","Mil Reais","...","Mil Reais","...","Mil Reais","22","Mil Reais","20","Mil Reais","23","Mil Reais","20","Mil Reais","68","Mil Reais","31","Mil Reais","78","Mil Reais","32","Mil Reais","82","Mil Reais","34","Mil Reais","110","Mil Reais","15","Mil Reais","82","Mil Reais","14","Mil Reais","...","Mil Reais","...","Mil Reais","...","Mil Reais","...","Mil Reais","...","Mil Reais","...","Mil Reais","1","Mil Reais","1","Mil Reais","0","Mil Reais","0","Mil Reais","1","Mil Reais","-","Mil Reais","3","Mil Reais","-","Mil Reais","...","Mil Reais","...","Mil Reais","351","Mil Reais","-","Mil Reais","520","Mil Reais","-","Mil Reais"
